"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.89836724342956e-09,0.30551423908475,0.171,0.299,4.61872750326413e-05,"0","TMEM248"
4.92784701933147e-09,0.82369299781629,0.415,0.286,0.000119894517980335,"0","ZNF331"
5.31177768436919e-09,0.284226788197326,0.697,0.701,0.000129235551060702,"0","PNRC1"
5.45498735071703e-09,0.76421431502981,0.261,0.121,0.000132719842242945,"0","CD96"
7.27389104504539e-09,0.886454150602257,0.515,0.5,0.000176973769125954,"0","SF1"
8.65686700102231e-09,0.943026452988143,0.54,0.543,0.000210621574134873,"0","UBE2B"
9.35724009387684e-09,0.706751884925889,0.61,0.588,0.000227661651484024,"0","DNAJB1"
1.16838105856942e-08,0.771804638095438,0.587,0.609,0.000284267111549941,"0","RPL17"
1.20914560586272e-08,1.13951247248902,0.417,0.347,0.000294185125906399,"0","G3BP2"
1.23131787242327e-08,0.266497202880935,0.147,0.255,0.000299579638360581,"0","TIAL1"
1.26620753881923e-08,0.328433517356653,0.646,0.625,0.000308068294194719,"0","CD44"
1.30508581719369e-08,0.345142666659168,0.512,0.338,0.000317527379323224,"0","HCST"
1.77489096753192e-08,0.489321206233768,0.597,0.647,0.000431830972400515,"0","CNBP"
2.6817640996768e-08,1.41648814865847,0.285,0.19,0.000652473205451365,"0","SYNE2"
3.55138156976577e-08,0.269305193925041,0.197,0.301,0.000864051135924011,"0","GNAI3"
3.61717895636104e-08,0.838984624502073,0.362,0.269,0.000880059640082642,"0","WIPF1"
4.01526168284987e-08,0.368878356695629,0.204,0.301,0.000976913167437373,"0","MRPL47"
4.22575752168086e-08,1.07703000616896,0.487,0.39,0.00102812680502495,"0","PPP2R5C"
4.84973898817742e-08,1.5971645240949,0.331,0.313,0.00117994149582357,"0","CORO1B"
4.93598099816616e-08,0.276937459246639,0.248,0.375,0.00120092417685383,"0","AKAP9"
4.99487896766797e-08,0.263677231219911,0.297,0.445,0.00121525405283362,"0","DPP7"
6.43324493676545e-08,0.397211889978045,0.602,0.618,0.00156520849311503,"0","EZR"
6.8000472773659e-08,0.322096704184484,0.184,0.287,0.00165445150258312,"0","HP1BP3"
1.0666344694278e-07,0.281830879190298,0.175,0.287,0.00259512166411785,"0","WAC"
1.16023418650357e-07,1.53590133169363,0.282,0.23,0.00282284977576319,"0","RHBDD2"
1.92333061255212e-07,1.13535380128401,0.332,0.243,0.00467946338033931,"0","SMCHD1"
2.20053891275648e-07,0.374535870247649,0.227,0.369,0.00535391117473652,"0","MRPL18"
2.27058021495807e-07,0.48184945333461,0.454,0.397,0.00552432166299299,"0","DUSP2"
2.89837009503913e-07,1.09626641273376,0.297,0.272,0.0070517344412302,"0","FAM107B"
3.2668308680428e-07,0.704877886666215,0.52,0.51,0.00794819950194814,"0","KMT2E"
3.94848455265162e-07,1.19082464426467,0.332,0.255,0.00960666291660139,"0","UCP2"
4.49060148839559e-07,0.251820364501791,0.189,0.292,0.0109256334212665,"0","PLEKHB2"
4.50862982503963e-07,0.982841114775894,0.262,0.23,0.0109694963643214,"0","IRS2"
5.19322124130989e-07,0.35507777802366,0.219,0.354,0.012635107280107,"0","CDV3"
6.02946179872887e-07,0.466792329875321,0.642,0.667,0.0146696805563074,"0","FUS"
7.49770177721487e-07,1.11879931430799,0.426,0.403,0.0182419084239638,"0","PPP1R2"
8.67802278077999e-07,0.254663549775261,0.173,0.306,0.0211136294256377,"0","MESDC2"
9.96368193950659e-07,1.01279687516696,0.447,0.411,0.0242416381588195,"0","DDIT4"
