"gene","logFC","logCPM","F","PValue","FDR","significance"
"CEMIP",6.03261396110766,3.21957758268729,88.2780439226358,2.55511143494441e-07,4.13231203887828e-05,"Up in tumor"
"ZG16",-10.4683282012138,10.8259785272574,87.987409795403,2.61723288714534e-07,4.17851296713089e-05,"Down in tumor"
"CLDN5",-4.31918077303252,0.72197565813392,60.5419829491239,2.65946696157308e-07,4.18747957527714e-05,"Down in tumor"
"MYEOV",2.99513807120271,4.13244465694266,89.2030967100152,2.69395602996315e-07,4.18747957527714e-05,"Up in tumor"
"BEX4",-4.55304228082213,2.93756937769892,105.889998542742,2.73104460781437e-07,4.18747957527714e-05,"Down in tumor"
"SLC4A4",-6.19583865260322,4.19322869787623,90.490104538694,2.7573542533745e-07,4.18747957527714e-05,"Down in tumor"
"GCNT2",-4.86643126600765,-0.351642509748005,61.173700590543,2.88296311505532e-07,4.32548670744384e-05,"Down in tumor"
"TRPM2",3.47562649575328,2.7250324865804,53.9092679429376,2.95228015280718e-07,4.37675532653665e-05,"Up in tumor"
"SLC22A18AS",-2.02353136004143,5.04689517463322,91.8545918206593,3.04058458733339e-07,4.45463527836032e-05,"Down in tumor"
"ZBTB16",-5.85686555374044,-0.479123562479771,67.0096186306824,3.14212971570498e-07,4.5498769011249e-05,"Down in tumor"
"DHRS11",-2.14814893240045,5.43100283308608,91.1249592701525,3.18339067939322e-07,4.55663955522801e-05,"Down in tumor"
"CPM",-4.66382504071471,3.70274909518214,90.8531942552519,3.33806366068412e-07,4.72373940528402e-05,"Down in tumor"
"ADH1B",-5.77590980376857,-0.333452338552225,65.8453277651182,3.40124481481349e-07,4.75906760436768e-05,"Down in tumor"
"NKD1",8.02298511555401,3.95962784474224,168.245700894258,3.54840677313547e-07,4.90981217176178e-05,"Up in tumor"
"CA12",-2.73099315922667,5.82546900298198,87.632374072485,3.93804469756016e-07,5.3158247979817e-05,"Down in tumor"
"ARHGAP44",-3.04209760973942,3.37218229730594,88.0997233909615,3.96282395377973e-07,5.3158247979817e-05,"Down in tumor"
"MUC12",-2.20600020513293,6.89800543458066,87.5442598123297,3.98029530283587e-07,5.3158247979817e-05,"Down in tumor"
"CA2",-5.73973523188088,7.51427769084263,87.3775468690206,4.01258757737316e-07,5.3158247979817e-05,"Down in tumor"
"INSL5",-13.0934960397957,7.16898544833051,551.296838289471,4.21769386748978e-07,5.52873070861581e-05,"Down in tumor"
"IL1R2",-2.74980772690061,4.50789452678473,81.950512055151,4.47489312323095e-07,5.80477542329115e-05,"Down in tumor"
"GAL",4.86993746318628,5.54194344739303,66.6418186094433,4.96686355203339e-07,6.37653111479091e-05,"Up in tumor"
"KIF19",-4.87505629319392,0.230378727802703,58.6757449696717,5.18074042813595e-07,6.53835294026235e-05,"Down in tumor"
"IFITM1",2.68517421111626,5.09357458888178,75.3315481641117,5.19791970678529e-07,6.53835294026235e-05,"Up in tumor"
